Time (s),I_meas (mA)
4.26,33.06239296759497
4.27,33.06239296759497
4.28,33.06239296759497
4.29,33.06239296759497
4.3,33.06239296759497
4.31,33.06239296759497
4.32,33.06239296759497
4.33,33.06239296759497
4.34,33.06239296759497
4.350000000000001,33.06239296759497
4.36,33.06239296759497
4.37,33.06239296759497
4.38,33.06239296759497
4.39,33.06239296759497
4.4,33.06239296759497
4.41,33.06239296759497
4.42,33.06239296759497
4.43,33.06239296759497
4.44,33.06239296759497
4.45,33.06239296759497
4.46,33.06239296759497
4.47,33.06239296759497
4.48,33.06239296759497
4.49,33.06239296759497
4.5,33.06239296759497
4.51,33.06239296759497
4.52,33.06239296759497
4.53,33.06239296759497
4.54,33.06239296759497
4.55,36.41940893427184
4.56,41.45493288428715
4.57,41.45493288428715
4.58,41.45493288428715
4.59,41.45493288428715
4.600000000000001,41.45493288428715
4.61,41.45493288428715
4.62,41.45493288428715
4.63,41.45493288428715
4.64,41.45493288428715
4.65,41.45493288428715
4.66,41.45493288428715
4.67,41.45493288428715
4.68,41.45493288428715
4.69,41.45493288428715
4.7,41.45493288428715
4.71,41.45493288428715
4.72,41.45493288428715
4.73,41.45493288428715
4.74,41.45493288428715
4.75,41.45493288428715
4.76,41.45493288428715
4.77,41.45493288428715
4.78,41.45493288428715
4.79,41.45493288428715
4.8,41.45493288428715
4.81,41.45493288428715
4.82,41.45493288428715
4.83,41.45493288428715
4.84,41.45493288428715
4.850000000000001,41.45493288428715
4.86,41.45493288428715
4.87,41.45493288428715
4.88,41.45493288428715
4.89,41.45493288428715
4.9,41.45493288428715
4.91,41.45493288428715
4.92,41.45493288428715
4.93,41.45493288428715
4.94,41.45493288428715
4.95,41.45493288428715
4.96,41.45493288428715
4.97,41.45493288428715
4.98,41.45493288428715
4.99,41.45493288428715
5,41.45493288428715
5.01,41.45493288428715
5.02,41.45493288428715
5.03,41.45493288428715
5.04,41.45493288428715
5.05,41.45493288428715
5.06,41.45493288428715
5.07,41.45493288428715
5.08,41.45493288428715
5.09,41.45493288428715
5.100000000000001,41.45493288428715
5.11,41.45493288428715
5.12,41.45493288428715
5.13,41.45493288428715
5.14,41.45493288428715
5.15,41.45493288428715
5.16,41.45493288428715
5.17,41.45493288428715
5.18,41.45493288428715
5.19,41.45493288428715
5.2,41.45493288428715
5.21,41.45493288428715
5.22,41.45493288428715
5.23,41.45493288428715
5.24,41.45493288428715
5.25,41.45493288428715
5.26,41.45493288428715
5.27,41.45493288428715
5.28,41.45493288428715
5.29,41.45493288428715
5.3,41.45493288428715
5.31,41.45493288428715
5.32,41.45493288428715
5.33,41.45493288428715
5.34,41.45493288428715
5.350000000000001,41.45493288428715
5.36,41.45493288428715
5.37,41.45493288428715
5.38,41.45493288428715
5.39,41.45493288428715
5.4,41.45493288428715
5.41,41.45493288428715
5.42,41.45493288428715
5.43,41.45493288428715
5.44,41.45493288428715
5.45,41.45493288428715
5.46,41.45493288428715
5.47,41.45493288428715
5.48,41.45493288428715
5.49,41.45493288428715
5.5,41.45493288428715
5.51,41.45493288428715
5.52,41.45493288428715
5.53,41.45493288428715
5.54,41.45493288428715
5.55,38.09791691761028
5.56,33.06239296759497
5.57,33.06239296759497
5.58,33.06239296759497
5.59,33.06239296759497
5.600000000000001,31.38388498425653
5.61,31.38388498425653
5.62,33.06239296759497
5.63,33.06239296759497
5.64,33.06239296759497
5.65,33.06239296759497
5.66,31.38388498425653
5.67,33.06239296759497
5.68,33.06239296759497
5.69,31.38388498425653
5.7,31.38388498425653
5.71,31.38388498425653
5.72,31.38388498425653
5.73,31.38388498425653
5.74,31.38388498425653
5.75,33.06239296759497
5.76,33.06239296759497
5.77,33.06239296759497
5.78,33.06239296759497
5.79,33.06239296759497
5.8,31.38388498425653
5.81,31.38388498425653
5.82,33.06239296759497
5.83,31.38388498425653
5.84,31.38388498425653
5.850000000000001,31.38388498425653
5.86,31.38388498425653
5.87,31.38388498425653
5.88,31.38388498425653
5.89,31.38388498425653
5.9,33.06239296759497
5.91,31.38388498425653
5.92,31.38388498425653
5.93,31.38388498425653
5.94,31.38388498425653
5.95,31.38388498425653
5.96,33.06239296759497
5.97,31.38388498425653
5.98,31.38388498425653
5.99,31.38388498425653
6,33.06239296759497
6.01,31.38388498425653
6.02,31.38388498425653
6.03,31.38388498425653
6.04,31.38388498425653
6.05,31.38388498425653
6.06,31.38388498425653
6.07,33.06239296759497
6.08,31.38388498425653
6.09,33.06239296759497
6.100000000000001,31.38388498425653
6.11,33.06239296759497
6.12,33.06239296759497
6.13,33.06239296759497
6.140000000000001,33.06239296759497
6.15,33.06239296759497
6.16,33.06239296759497
6.17,33.06239296759497
6.18,33.06239296759497
6.19,33.06239296759497
6.2,33.06239296759497
6.21,33.06239296759497
6.22,33.06239296759497
6.23,33.06239296759497
6.24,33.06239296759497
6.25,33.06239296759497
6.26,33.06239296759497
6.27,33.06239296759497
6.28,33.06239296759497
6.29,33.06239296759497
6.3,33.06239296759497
6.31,33.06239296759497
6.32,31.38388498425653
6.33,31.38388498425653
6.34,31.38388498425653
6.350000000000001,33.06239296759497
6.36,33.06239296759497
6.37,33.06239296759497
6.38,31.38388498425653
6.390000000000001,31.38388498425653
6.4,31.38388498425653
6.41,33.06239296759497
6.42,33.06239296759497
6.43,33.06239296759497
6.44,33.06239296759497
6.45,33.06239296759497
6.46,33.06239296759497
6.47,33.06239296759497
6.48,33.06239296759497
6.49,33.06239296759497
6.5,33.06239296759497
6.51,33.06239296759497
6.52,33.06239296759497
6.53,33.06239296759497
6.54,33.06239296759497
6.55,36.41940893427184
6.56,41.45493288428715
6.57,41.45493288428715
6.58,41.45493288428715
6.59,41.45493288428715
6.600000000000001,41.45493288428715
6.61,41.45493288428715
6.62,41.45493288428715
